id;date_evaluation;status;mode;score_total;remarques;statut
1;2026-01-20T09:00:00;TERMINEE;CLASSIQUE;85.0;Tres bonne maitrise de Java;CONFORME
2;2026-01-25T10:00:00;TERMINEE;CLASSIQUE;65.0;Progres necessaires en React;A_AMELIORER
3;2026-02-05T14:00:00;TERMINEE;DISCRET;40.0;Lacunes importantes en Docker;NON_CONFORME
4;2026-02-12T09:00:00;TERMINEE;CLASSIQUE;90.0;Excellente maitrise SQL;CONFORME
5;2026-02-20T11:00:00;TERMINEE;DISCRET;55.0;Niveau securite a renforcer;A_AMELIORER
6;2026-03-05T09:00:00;EN_COURS;CLASSIQUE;;;Evaluation en cours
7;2026-03-12T14:00:00;TERMINEE;DISCRET;75.0;Bonnes bases architecture;A_AMELIORER
8;2026-03-18T10:00:00;TERMINEE;CLASSIQUE;92.0;Excellent niveau Git;CONFORME
9;2026-03-22T09:00:00;TERMINEE;CLASSIQUE;45.0;TypeScript a ameliorer;NON_CONFORME
10;2026-04-02T09:00:00;EN_COURS;DISCRET;;;Evaluation full stack en cours
