id;valeur;pourcentage;statut;date_calcul
1;9715.45;22090.56;A_AMELIORER;2026-04-07T08:16:18
2;16898.77;20505.14;NON_CONFORME;2026-04-07T14:45:06
3;15264.91;19217.73;CONFORME;2026-04-07T17:53:35
4;31668.01;29422.99;NON_CONFORME;2026-04-07T17:58:36
5;6467.75;459.44;CONFORME;2026-04-07T05:24:11
6;17937.78;7282.13;NON_CONFORME;2026-04-07T20:36:02
7;19216.41;18984.77;NON_CONFORME;2026-04-07T23:00:59
8;18022.31;13440.48;A_AMELIORER;2026-04-07T17:31:56
9;14073.04;28676.55;A_AMELIORER;2026-04-07T11:46:30
10;597.9;25075.72;NON_CONFORME;2026-04-07T19:50:38
